freq,p_adj,unit,product,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NI,I15,202300,LT	100.00 	76.83 	87.07 	109.38 	105.80 	78.02 	108.69 	198.27 	: 
A,NI,I15,202300,LU	100.00 	84.54 	98.92 	118.63 	115.66 	80.39 	122.33 	220.13 	: 
A,NI,I15,202300,LV	100.00 	93.67 	101.27 	113.14 	112.70 	101.90 	118.87 	160.74 	: 
A,NI,I15,202300,MT	100.00 	92.18 	93.05 	94.67 	98.58 	97.89 	95.39 	95.39 	: 
A,NI,I15,202300,NL	100.00 	92.20 	99.90 	109.90 	111.80 	98.20 	117.20 	161.20 	: 
A,NI,I15,202300,PL	100.00 	93.21 	99.18 	107.55 	110.01 	97.70 	117.64 p	151.33 	: 
A,NI,I15,202300,PT	100.00 	92.51 	102.33 	113.59 	115.37 	103.11 	124.68 	178.28 	: 
A,NI,I15,202300,RO	100.00 	93.37 	91.07 	106.25 	107.55 	89.14 	106.57 	144.23 	: 
A,NI,I15,202300,SE	100.00 	98.00 	106.70 	119.50 	123.50 	111.10 	130.90 	187.18 	: 
A,NI,I15,202300,SI	100.00 	91.19 	99.81 	108.28 	105.82 	89.91 	107.59 	138.40 	: 
A,NI,I15,202300,SK	100.00 	79.26 	92.63 	137.78 	134.30 	98.84 	132.75 	234.85 	: 
A,NI,I15,202300,UK	100.00 	93.20 	107.66 	121.85 	123.91 	: 	: 	: 	: 
A,NI,I15,202400,BE	100.00 	94.72 	104.79 	114.87 	113.15 	113.59 	116.46 	151.61 	168.69 e
A,NI,I15,202400,BG	100.00 	99.20 	96.20 	96.80 	97.90 	98.10 	101.00 	112.20 	: 
A,NI,I15,202400,CY	100.00 	97.14 	105.11 	107.80 	106.40 	105.58 	106.13 	121.04 	: 
A,NI,I15,202400,CZ	: c	: c	: c	: c	: c	: c	: c	: c	: 
A,NI,I15,202400,DE	100.00 	100.90 	101.40 	102.90 	106.10 	105.20 	108.20 	115.90 	: 
A,NI,I15,202400,EE	100.00 	99.88 	98.03 	100.42 	101.25 	100.86 	105.08 	125.94 	: 
A,NI,I15,202400,EL	100.00 	99.19 	99.36 	99.36 	99.44 	99.14 	99.18 	100.06 	: 
A,NI,I15,202400,ES	100.00 	99.60 	98.60 	99.90 	99.20 	98.30 	104.10 	117.83 	: 
A,NI,I15,202400,EU27_2020	100.00 	100.08 	102.21 	107.79 	107.71 p	105.04 p	111.15 	129.09 	: 
A,NI,I15,202400,EU28	100.00 	100.08 	102.21 	107.79 	107.71 p	: 	: 	: 	: 
A,NI,I15,202400,FI	100.00 	99.21 	97.69 	98.73 	100.32 	100.20 	103.45 	114.16 	: 
A,NI,I15,202400,FR	100.00 	99.86 	98.73 	97.56 	96.61 	96.72 	98.20 	103.58 	: 
A,NI,I15,202400,HR	: c	: c	: c	: c	: c	: c	: c	: c	: 
A,NI,I15,202400,HU	100.00 	100.10 	100.20 	104.10 	110.00 	113.10 	147.40 	252.10 	: 
A,NI,I15,202400,IE	100.00 	100.76 	103.80 	104.20 	105.77 	104.91 	109.15 	113.69 	: 
A,NI,I15,202400,IT	100.00 	101.10 	103.90 	112.30 	112.30 	109.10 	114.90 	133.20 	: 
A,NI,I15,202400,LT	100.00 	102.79 	104.54 	116.35 	121.99 	131.67 	112.31 	263.47 	: 
A,NI,I15,202400,NL	100.00 	90.30 	111.50 	131.30 	114.10 	80.90 	125.60 	187.00 	: 
A,NI,I15,202400,PL	100.00 	99.57 	100.49 	101.71 	103.23 	105.14 	109.35 p	125.72 	: 
A,NI,I15,202400,PT	100.00 	96.73 	94.33 	93.75 	94.33 	86.52 	87.87 	104.85 	: 
A,NI,I15,202400,RO	100.00 	93.15 	93.46 	104.70 	109.66 	111.26 	123.07 	178.24 	: 
A,NI,I15,202400,SI	100.00 	100.00 	101.12 	106.71 	106.71 	106.71 	106.71 	106.71 	: 
A,NI,I15,202400,SK	100.00 	82.30 	114.93 	125.35 	127.50 	99.13 	145.48 	202.15 	: 
A,NI,I15,203000,AT	100.00 	88.30 	79.60 	84.10 	91.50 	84.50 	108.80 	215.20 	163.80 e
A,NI,I15,203000,BE	100.00 	87.46 	85.58 	89.29 	89.60 	81.13 	124.96 	228.91 	144.31 e
A,NI,I15,203000,BG	100.00 	81.60 	78.80 	96.80 	101.90 	95.10 	134.90 	282.90 	187.90 e
A,NI,I15,203000,CY	100.00 	103.09 	105.92 	102.18 	102.11 	89.30 	93.65 	138.44 	157.18 e
A,NI,I15,203000,CZ	100.00 	85.60 	77.90 	78.60 	84.30 	78.50 	101.00 	189.90 	147.60 e
A,NI,I15,203000,DE	100.00 	93.30 	91.80 	94.40 	100.00 	98.60 	108.80 	216.80 	183.60 e
A,NI,I15,203000,DK	100.00 	89.35 	89.49 	93.32 	90.98 	84.20 	104.92 	212.46 	143.91 e
